feature,importance
numeric__developer_availability_rate,0.35790746286225583
numeric__avg_seniority_level,0.2531517381177259
numeric__team_size,0.13657560186957285
numeric__concurrent_assignments,0.1043348560564307
numeric__availability_capacity,0.08085672942769512
numeric__total_tasks,0.032726476597423566
numeric__skill_capacity_index,0.017590081335810717
numeric__historical_points_gap,0.005379726811734378
numeric__planned_points_per_developer,0.004619286906866929
numeric__planned_story_points,0.003638525250200888
numeric__planned_points_per_task,0.0012565920755352202
categorical__team_id_T32,0.0005260583615061167
numeric__sprint_number,0.00032057105254280525
categorical__team_id_T20,0.0002630397503724697
numeric__historical_velocity_avg,0.00018910722163752766
categorical__team_id_T22,0.0001794944685476492
categorical__team_id_T4,0.0001746677437761061
categorical__team_id_T11,6.562016210251317e-05
numeric__skill_match_ratio,5.578663334283486e-05
categorical__team_id_T28,5.534200909985122e-05
categorical__team_id_T13,3.0626070581618466e-05
categorical__team_id_T36,2.5938446742203894e-05
categorical__team_id_T21,1.855159112713337e-05
categorical__team_id_T19,1.740469749358815e-05
categorical__team_id_T30,1.4368332366600003e-05
categorical__team_id_T3,9.14748661490189e-06
categorical__team_id_T15,5.982126065497796e-06
categorical__team_id_T17,5.188439358189021e-06
categorical__team_id_T24,5.0357217726851486e-06
categorical__team_id_T34,9.923736976994413e-07
categorical__team_id_T23,0.0
numeric__concurrency_per_developer,0.0
categorical__team_id_T25,0.0
categorical__team_id_T26,0.0
categorical__team_id_T27,0.0
categorical__team_id_T1,0.0
categorical__team_id_T29,0.0
categorical__team_id_T2,0.0
categorical__team_id_T18,0.0
categorical__team_id_T31,0.0
categorical__team_id_T16,0.0
categorical__team_id_T35,0.0
categorical__team_id_T14,0.0
categorical__team_id_T12,0.0
