feature,importance
total_tasks,0.4944715000596699
velocity_per_developer,0.09978010046798766
team_size,0.0869766933960654
historical_velocity_avg,0.07639519218516971
planned_vs_velocity,0.03799378969632564
points_per_task,0.019636290045124457
tasks_per_developer,0.015974359232591214
team_id=T21,0.0157173117197756
completed_story_points,0.013609942951858045
points_completed_per_developer,0.01295170004916452
planned_story_points,0.01285911397024449
planned_points_per_developer,0.011737746294030967
team_id=T36,0.011353677374246538
total_time_spent,0.008393964625670602
overtime_per_completed_point,0.008184892279453721
skill_match_ratio,0.005863443020280091
team_id=T34,0.0054541683862189185
absence_per_developer,0.005323244478718292
team_id=T22,0.004314155056196844
team_id=T4,0.004030453390187639
overtime_per_developer,0.0040159877327233485
team_id=T18,0.003366302937367974
team_id=T15,0.003285289527425028
team_id=T11,0.003087886507186392
team_id=T1,0.003074270706465811
absence_days_total,0.002992150435555282
team_id=T13,0.002899090156603065
team_id=T44,0.002865240358403637
overtime_hours_total,0.0028642488388802493
team_id=T12,0.0022030018927769375
completion_ratio,0.00216939053420058
team_id=T28,0.0019694115627244225
team_id=T3,0.0019459383427026006
team_id=T9,0.0016963238485840236
time_spent_per_completed_point,0.0013004393921958676
team_id=T24,0.0011397110866491924
team_id=T2,0.0011116808684663048
team_id=T7,0.0008511675871291803
team_id=T6,0.0006945052333124843
team_id=T31,0.0006490333747163787
team_id=T14,0.0006251525910199103
team_id=T17,0.0005938550629657672
team_id=T30,0.000553297510954571
team_id=T19,0.000512313720419425
team_id=T35,0.0005096268208666741
team_id=T10,0.0004771813130825011
team_id=T16,0.00040669866834933875
team_id=T32,0.00022391522040768254
team_id=T5,0.00018304286470858556
team_id=T23,0.00016443817257810804
team_id=T26,0.00015012046184395116
team_id=T25,0.0001295491036855027
team_id=T20,9.687705901878492e-05
team_id=T8,8.438037692279193e-05
team_id=T29,6.182333801913889e-05
team_id=T27,2.4918112108144953e-05
